InventoryID,Description,MSRP, Price Ref. ,Pre-order Date,Release Date,Tentative Release Date,Manufacturer,QtyFL,Fuente Catalogo
KON83073,Yu-Gi-Oh: Raging Tempest Booster Box,, $ 54.00 ,2016-11-04,2017-02-10,,Konami,5,PHD
KON83103,Yu-Gi-Oh: Pendulum Domination Structure Deck,, $ 6.25 ,2016-10-28,2017-01-20,,Konami,0,PHD
KON83144,Yu-Gi-Oh: Raging Tempest Special Edition,, $ 45.00 ,2016-12-06,2017-03-10,,Konami,3,PHD
KON83255,Yu-Gi-Oh: Duelist Pack- Dimensional Guardians,, $ 40.00 ,2017-03-03,2017-05-26,,Konami,16,PHD
KON83929,Yu-Gi-Oh: 2018 Advent Calendar Box,, $ 11.75 ,2018-05-21,2018-11-02,,Konami,0,PHD
KON83933,Card Sleeves: Yu-Gi-Oh- Kaiba Corporation,, $ 2.40 ,,2018-09-28,,Konami,0,PHD
KON83936,Deckbox: Yu-Gi-Oh- Kaiba Corporation Deck Case,, $ 3.00 ,2018-05-11,2018-09-28,,Konami,0,PHD
KON83943,Yu-Gi-Oh: Powercode Link Structure Deck,, $ 6.25 ,2018-06-01,2018-08-10,,Konami,8,PHD
KON83961,Yu-Gi-Oh: Shadows Over Valhalla Booster Display,, $ 54.00 ,2018-06-04,2018-08-17,,Konami,6,PHD
KON83984,Yu-Gi-Oh: Soul Fusion Booster Display,, $ 54.00 ,2018-07-27,2018-10-19,,Konami,3,PHD
KON88488,Card Sleeves: Yu-Gi-Oh- Card Back Art (50ct),, $ 2.40 ,2019-05-21,2019-09-13,,Konami,30,PHD
PKU80194,Pokémon TCG: Sun & Moon Booster Display,, $ 84.50 ,2016-12-09,2017-02-03,,"Pokemon Company, The",50,PHD
PKU80196,Pokémon TCG: Sun & Moon 3pack,, $ 8.15 ,2016-12-09,2017-02-03,,"Pokemon Company, The",0,PHD
PKU80205,Pokémon TCG: Sun & Moon Launch Box,, $ 263.80 ,2016-12-09,2017-02-03,,"Pokemon Company, The",0,PHD
PKU80209,Pokémon TCG: Legends of Alola Tin,, $ 150.00 ,2017-01-27,2017-03-17,,"Pokemon Company, The",0,PHD
PKU80210,Pokémon: Sun & Moon Trainer Kit- Lycanroc & Alolan Raichu,, $ 6.25 ,2017-03-03,2017-04-21,,"Pokemon Company, The",0,PHD
PKU80212,Pokémon TCG: Collector Chest Tin (Spring 2017),, $ 15.50 ,2017-02-27,2017-04-07,,"Pokemon Company, The",0,PHD
PKU80214,Pokémon TCG: Sun & Moon 2 Guardians Rising Booster Display,, $ 84.50 ,2017-03-13,2017-05-05,,"Pokemon Company, The",50,PHD
PKU80221,Pokémon TCG: Sun & Moon 2 Guardians Rising Starter Decks(QTY of 2),, $ 8.15 ,2017-03-13,2017-05-05,,"Pokemon Company, The",0,PHD
PKU80226,Pokémon TCG: Sun & Moon 2 Guardians Rising Elite Trainer Box,, $ 25.00 ,2017-03-13,2017-05-05,,"Pokemon Company, The",0,PHD
PKU80457,Pokemon TCG: Sun & Moon 8 Lost Thunder 3-Booster Blister,, $ 8.15 ,2018-09-17,2018-11-02,,"Pokemon Company, The",0,PHD
PKU80467,Pokemon TCG: Sun & Moon 8 Lost Thunder Elite Trainer Box,, $ 25.00 ,2018-09-17,2018-11-02,,"Pokemon Company, The",0,PHD
PKU80469,Pokemon TCG: Sun & Moon 8 Lost Thunder Mini Portfolio,, $ 3.25 ,2018-09-17,2018-11-02,,"Pokemon Company, The",0,PHD
PKU80470,Pokémon TCG: Sun & Moon 8 Lost Thunder PRERELEASE Kit,, $ 144.00 ,2018-09-07,2018-10-20,,"Pokemon Company, The",0,PHD
PKU80474,Pokemon TCG: Battle Arena Decks- Rayquaza- GX vs Ultra Necrozma-GX,, $ 12.50 ,2019-08-16,2019-10-04,,The Pokemon Company,0,PHD
PKU80475,Pokemon TCG: Pale Moon-GX Box,, $ 12.50 ,2019-08-16,2019-10-18,,The Pokemon Company,0,PHD
PKU80476,Pokemon TCG: Galar Collection,, $ 12.50 ,2019-09-20,2019-11-15,,"Pokemon Company, The",50,PHD
PKU80477,Pokemon TCG: Hidden Fates Pin Collection—Mewtwo/Mew,, $ 9.35 ,2019-07-05,2019-08-23,,"Pokemon Company, The",0,PHD
PKU80478,Pokemon TCG: Alolan Sandslash-GX Box,, $ 12.50 ,2019-11-15,2020-01-24,,"Pokemon Company, The",0,PHD
PKU80479,Pokemon TCG: Dragon Majesty Elite Trainer Box,, $ 31.25 ,2018-07-27,2018-09-21,,"Pokemon Company, The",0,PHD
PKU80480,Pokémon TCG: Hidden Fates Poké Ball Collection,, $ 31.25 ,2019-08-16,2019-10-04,,"Pokemon Company, The",0,PHD
PKU80481,Pokemon TCG: Hidden Fates Tin (Charizard/Gyarados/Raichu),, $ 12.50 ,2019-07-12,2019-09-06,,"Pokemon Company, The",0,PHD
PKU80482,Pokemon TCG: Hidden Fates Ultra-Premium Collection,, $ 61.25 ,2019-09-06,2019-11-22,,"Pokemon Company, The",0,PHD
PKU80483,Pokemon TCG: Legends of Johto GX Premium Collection,, $ 25.00 ,2018-02-16,2018-04-06,,"Pokemon Company, The",0,PHD
PKU80487,Pokemon TCG: Sun & Moon 9 Team Up Sleeved Booster Display,, $ 56.40 ,2018-12-17,2019-02-01,,"Pokemon Company, The",0,PHD
PKU80488,Pokemon TCG: Sun & Moon 9 Team Up 3-Booster Blister,, $ 8.15 ,2018-12-17,2019-02-01,,"Pokemon Company, The",0,PHD
PKU80565,Pokémon TCG: Sun & Moon 10 Unbroken Bonds PRERELEASE Kit,, $ 144.00 ,2019-03-01,2019-04-20,,"Pokemon Company, The",0,PHD
PKU80568,Pokemon TCG: Sun & Moon 11 Unified Minds Booster Display,, $ 84.50 ,2019-06-14,2019-08-02,,The Pokemon Company,50,PHD
PKU80585,Pokemon TCG: Sun & Moon 11 Unified Minds Build & Battle Box,, $ 12.50 ,2019-06-14,2019-08-02,,The Pokemon Company,8,PHD
PKU80586,Pokémon TCG: Sun & Moon 11 Unified Minds PRERELEASE Kit,, $ 144.00 ,2019-05-30,2019-07-20,,"Pokemon Company, The",1,PHD
PKU80589,Pokemon TCG: Sun & Moon 12 Cosmic Eclipse Booster Display,, $ 84.50 ,2019-09-06,2019-11-01,,The Pokemon Company,50,PHD
PKU80590,Pokemon TCG: Sun & Moon 12 Cosmic Eclipse Sleeved Booster Display (24),, $ 56.40 ,2019-09-06,2019-11-01,,The Pokemon Company,0,PHD
PKU80591,Pokemon TCG: Sun & Moon 12 Cosmic Eclipse 3-Booster Blister,, $ 8.15 ,2019-09-06,2019-11-01,,The Pokemon Company,50,PHD
PKU80633,Pokémon TCG: Detective Pikachu Charizard-GX Special Case File,, $ 15.65 ,2019-02-22,2019-04-05,,"Pokemon Company, The",14,PHD
PKU80636,Pokémon TCG: Detective Pikachu On the Case Figure Collection,, $ 12.50 ,2019-06-14,2019-08-09,,"Pokemon Company, The",50,PHD
PKU80674,Pokémon TCG: Sword & Shield 1 PRERELEASE Kit,, $ 144.00 ,2019-12-02,2020-01-18,,"Pokemon Company, The",0,PHD
PKU80777,Pokemon TCG: Pikachu- GX/Eevee-GX Special Collection,, $ 18.75 ,2019-09-20,2019-11-01,,"Pokemon Company, The",50,PHD
PKU80782,Pokemon TCG: Let's Play Pokémon TCG Box,, $ 12.50 ,2019-11-08,2019-12-06,,"Pokemon Company, The",0,PHD
TSP81745,War of the Spark: Ravnica (Magic: The Gathering Novel),, $ 14.30 ,,2019-04-29,,Wizards of the Coast,0,PHD
WOCB6792DE,MTG: Aether Revolt Booster Box- German,, $ 65.00 ,2016-11-30,2017-01-20,,Wizards of the Coast,0,PHD
WOCB6792FR,MTG: Aether Revolt Booster Box- French,, $ 60.00 ,2016-11-30,2017-01-20,,Wizards of the Coast,0,PHD
WOCB6792JP,MTG: Aether Revolt Booster Box- Japanese,, $ 65.00 ,2016-11-30,2017-01-20,,Wizards of the Coast,0,PHD
WOCB6792KR,MTG: Aether Revolt Booster Box- Korean,, $ 65.00 ,2016-11-30,2017-01-20,,Wizards of the Coast,0,PHD
WOCC2230FR,MTG: Ixalan Booster Box- French,, $ 60.00 ,2017-07-30,2017-09-29,,Wizards of the Coast,20,PHD
WOCC2230JP,MTG: Ixalan Booster Box- Japanese,, $ 63.00 ,2017-07-30,2017-09-29,,Wizards of the Coast,35,PHD
WOCC2230KR,MTG: Ixalan Booster Box- Korean,, $ 63.00 ,2017-07-30,2017-09-29,,Wizards of the Coast,21,PHD
WOCC2230RU,MTG: Ixalan Booster Box- Russian,, $ 60.00 ,2017-07-30,2017-09-29,,Wizards of the Coast,18,PHD
WOCC2232,MTG: Ixalan BUNDLE,, $ 23.25 ,2017-07-30,2017-09-29,,Wizards of the Coast,0,PHD
WOCC2233,MTG: Ixalan Planeswalker Deck Display,, $ 49.85 ,2017-07-30,2017-09-29,,Wizards of the Coast,0,PHD
